,1p.prs,1p.pst,3p.prs,3p.pst,count
1743,chortle,chortled,chortles,chortled,59103
1744,chorus,chorused,choruses,chorused,0
1745,scalp,scalped,scalps,scalped,1356840
1746,scamp,scamped,scamps,scamped,0
1747,scamper,scampered,scampers,scampered,86062
1748,christen,christened,christens,christened,245330
1749,scan,scanned,scans,scanned,18173060
1750,scandalize,scandalized,scandalizes,scandalized,0
1751,scant,scanted,scants,scanted,543285
1752,scar,scarred,scars,scarred,0
1753,chronicle,chronicled,chronicles,chronicled,0
1754,scare,scared,scares,scared,0
1755,scarify,scarified,scarifies,scarified,0
1756,chuck,chucked,chucks,chucked,9574825
1757,scarper,scarpered,scarpers,scarpered,0
1758,chuckle,chuckled,chuckles,chuckled,631276
1759,scat,scatted,scats,scatted,0
1760,chug,chugged,chugs,chugged,184716
1761,chum,chummed,chums,chummed,0
1762,scatter,scattered,scatters,scattered,0
1763,church,churched,churches,churched,0
1764,scavenge,scavenged,scavenges,scavenged,0
1765,scent,scented,scents,scented,0
1766,churn,churned,churns,churned,694218
1767,schedule,scheduled,schedules,scheduled,0
1768,schematize,schematized,schematizes,schematized,0
1769,scheme,schemed,schemes,schemed,0
1770,cinch,cinched,cinches,cinched,427247
1771,school,schooled,schools,schooled,0
1772,cipher,ciphered,ciphers,ciphered,1177442
1773,circle,circled,circles,circled,23962760
1774,circularize,circularized,circularizes,circularized,0
1775,circulate,circulated,circulates,circulated,975458
1776,circumcise,circumcised,circumcises,circumcised,44656
1777,circumnavigate,circumnavigated,circumnavigates,circumnavigated,0
1778,scintillate,scintillated,scintillates,scintillated,0
1779,circumscribe,circumscribed,circumscribes,circumscribed,0
1780,scissor,scissored,scissors,scissored,0
1781,scoff,scoffed,scoffs,scoffed,0
1782,circumvent,circumvented,circumvents,circumvented,0
1783,scold,scolded,scolds,scolded,170208
1784,scoop,scooped,scoops,scooped,5272369
1785,cite,cited,cites,cited,7045823
1786,scoot,scooted,scoots,scooted,269666
1787,scorch,scorched,scorches,scorched,0
1788,score,scored,scores,scored,0
1789,scorn,scorned,scorns,scorned,622924
1790,civilize,civilized,civilizes,civilized,36528
1791,scotch,scotched,scotches,scotched,2103280
1792,clack,clacked,clacks,clacked,0
1793,claim,claimed,claims,claimed,40085342
1794,clam,clammed,clams,clammed,1619041
1795,clamber,clambered,clambers,clambered,0
1796,scour,scoured,scours,scoured,411478
1797,scourge,scourged,scourges,scourged,605240
1798,clamour,clamoured,clamours,clamoured,0
1799,scout,scouted,scouts,scouted,0
1800,clamp,clamped,clamps,clamped,3639509
1801,scowl,scowled,scowls,scowled,0
1802,scrabble,scrabbled,scrabbles,scrabbled,1809087
1803,scrag,scragged,scrags,scragged,0
1804,clang,clanged,clangs,clanged,187651
1805,scram,scrammed,scrams,scrammed,139774
1806,scramble,scrambled,scrambles,scrambled,1103257
1807,clank,clanked,clanks,clanked,0
1808,scrap,scrapped,scraps,scrapped,0
1809,scrape,scraped,scrapes,scraped,699467
1810,clap,clapped,claps,clapped,0
1811,scratch,scratched,scratches,scratched,7457515
1812,clarify,clarified,clarifies,clarified,5016927
1813,scrawl,scrawled,scrawls,scrawled,117309
